Open,High,Low,Close,Volume,Market Cap
138.32,138.38,136.31,136.99,4266845458,14434995337
137.04,139.39,136.91,138.24,4436568613,14565143357
136.56,138.79,136.23,137.18,4490899266,14451740115
140.48,141.00,135.86,136.64,5087247796,14392427839
140.48,140.95,138.31,140.69,4664134462,14817151375
139.25,140.99,139.14,140.52,4251488129,14797612389
140.10,142.27,138.84,139.37,4551739879,14675181094
142.24,142.37,139.32,140.00,3827157729,14739201597
137.91,144.56,137.91,142.40,4839003569,14989691491
133.57,138.40,133.57,137.69,4506861856,14492364551
133.20,135.18,132.75,133.71,4476532147,14071628064
134.61,134.61,132.72,133.26,4265162099,14022610219
134.01,135.27,130.94,134.44,4709988000,14144929392
136.85,137.35,133.10,133.83,4689807419,14079044648
138.18,138.27,135.69,136.76,4578438499,14384860876
134.89,139.12,134.68,137.97,5011918715,14509873018
138.31,139.50,133.56,135.13,4678816794,14209542041
138.94,140.86,137.27,138.03,4339206292,14513398954
137.96,139.97,136.15,138.79,4589054219,14590867639
127.79,138.23,126.74,137.82,4764849990,14492117352
132.16,132.73,125.40,127.77,4008171341,13432896659
134.79,135.85,131.33,132.25,3454374053,13900679027
136.35,137.18,132.44,134.21,3747176425,14103698392
136.84,139.00,136.43,136.44,3756124824,14335957425
136.28,138.85,135.66,136.75,4535438953,14365118213
138.03,141.34,131.60,136.13,4469776860,14298070644
139.65,139.98,136.58,138.09,3791292839,14502464167
135.50,142.53,135.48,139.82,4914392068,14682597926
158.90,165.55,135.85,135.85,5957715043,14263873721
148.68,159.13,147.33,158.80,4519468458,16670632412
146.07,149.27,145.21,149.09,3731099284,15649961167
149.35,149.35,144.56,146.13,3995766856,15337145738
145.17,149.55,142.50,149.55,4500094965,15694462393
146.40,149.93,145.13,145.35,5310842625,15250901019
133.03,147.69,133.00,146.10,5387525773,15327852479
123.18,134.46,123.09,133.60,4236081130,14014695490
122.40,124.13,122.30,123.26,2905833287,12928550184
121.45,123.66,121.37,122.10,3021741615,12805280766
122.42,124.45,121.33,121.39,3331701628,12729213675
122.54,125.55,121.61,122.55,3386585799,12849605819
121.18,123.47,119.60,122.57,3149576429,12849965121
124.87,124.87,120.31,121.30,3222473887,12714795026
119.41,124.85,117.11,124.81,3148766590,13080881910
119.21,120.69,118.00,119.43,2884650400,12515870173
