Date,n_tit_pol_comm,n_tit_pol_score,count
2011-06-12,0.06247966818334089,0.0461340808742983,0.0
2011-06-22,0.0,0.04969643211416236,0.0
2012-01-23,0.0,0.0,0.0
2012-02-15,0.0,0.0,0.0
2012-08-07,0.1195193055571847,0.054238332322926186,0.0
2012-08-12,0.0,0.03326842915874198,0.0
2012-12-08,0.06247966818334089,0.060452747715527264,0.0
2013-03-07,0.5092584002115705,0.19700982830028638,0.41491326668312173
2013-03-21,0.0,0.0,0.0
2013-03-30,0.0,0.0,0.0
2013-04-10,0.11028749628139115,0.054238332322926186,0.41491326668312173
2013-04-11,0.0,0.0,0.41491326668312173
2013-04-14,0.09918029100085937,0.044125660946494255,0.0
2013-04-15,0.0,0.04969643211416236,0.0
2013-05-01,0.09011127459037285,0.03661664425572356,0.0
2013-05-14,0.06247966818334089,0.03760675921807732,0.5227579585747102
2013-05-16,0.0,0.03944408430854377,0.0
2013-05-18,0.0,0.0,0.0
2013-06-25,0.11660302928427976,0.07398832409355784,0.41491326668312173
2013-06-28,0.049590145500429686,0.04515220509246445,0.41491326668312173
2013-07-01,0.09011127459037285,0.03944408430854377,0.0
2013-07-09,0.0,0.03326842915874198,0.0
2013-07-13,0.12495933636668177,0.05931185642701071,0.0
2013-07-23,0.0,0.03944408430854377,0.0
2013-08-03,0.0,0.051300638680577035,0.0
2013-08-07,0.074077837809362,0.06261358092530472,0.5227579585747102
2013-08-08,0.0,0.0,0.0
2013-08-10,0.0,0.0,0.0
2013-08-12,0.1695959119958648,0.11330036972546688,0.41491326668312173
2013-08-13,0.09011127459037285,0.03326842915874198,0.0
2013-08-16,0.32824242704538026,0.2323497318226628,0.0
2013-08-18,0.0,0.0,0.0
2013-08-24,0.0,0.0,0.0
2013-08-28,0.0,0.03661664425572356,0.0
2013-09-05,0.06247966818334089,0.051300638680577035,0.0
2013-09-06,0.0,0.03326842915874198,0.0
2013-09-14,0.13895353810512726,0.06364021553961173,0.0
2013-09-24,0.0,0.041915594194035406,0.0
2013-10-02,0.0,0.03661664425572356,0.5227579585747102
2013-10-03,0.0,0.0,0.0
2013-10-04,0.0,0.0,0.0
2013-10-06,0.0,0.03944408430854377,0.41491326668312173
2013-10-14,0.07871944913463816,0.054238332322926186,0.0
2013-10-16,0.0,0.0,0.0
2013-10-21,0.06247966818334089,0.03944408430854377,0.0
2013-10-23,0.09918029100085937,0.03326842915874198,0.0
2013-10-25,0.0,0.0,0.0
2013-10-28,0.07871944913463816,0.03326842915874198,0.0
2013-11-05,0.06247966818334089,0.03326842915874198,0.0
2013-11-06,0.07871944913463816,0.03326842915874198,0.0
2013-11-08,0.10916203513634536,0.05730652435649505,0.5227579585747102
2013-11-11,0.0,0.0,0.0
2013-11-12,0.0,0.0,0.0
2013-11-14,0.0,0.0,0.0
2013-11-18,0.13572088082974534,0.05988773570852894,0.5984084805885754
2013-11-19,0.0,0.0,0.0
2013-11-21,0.04332098235260605,0.04913799796710893,0.5227579585747102
2013-11-22,0.17507048761601918,0.0795401665199833,0.0
2013-11-24,0.0,0.0,0.0
2013-11-26,0.0,0.0,0.0
2013-11-27,0.10440973049360511,0.05646365891503166,0.5227579585747102
2013-11-28,0.16374305270451803,0.13710868803964565,0.0
2013-12-01,0.20107818794899246,0.11409159905909344,0.5227579585747102
2013-12-02,0.13460836455587097,0.06364021553961173,0.0
2013-12-03,0.2979993342407628,0.14214464267155102,0.41491326668312173
2013-12-04,0.09011127459037285,0.051300638680577035,0.0
2013-12-05,0.16374305270451803,0.07398832409355784,0.5227579585747102
2013-12-06,0.0,0.0,0.41491326668312173
2013-12-07,0.1469106110767724,0.058125299611080906,0.0
2013-12-10,0.13460836455587097,0.0838311883880708,0.0
2013-12-11,0.0,0.0,0.0
2013-12-12,0.0,0.0,0.41491326668312173
2013-12-13,0.0,0.04798137765899807,0.0
2013-12-14,0.06247966818334089,0.03326842915874198,0.0
2013-12-16,0.0,0.0,0.0
2013-12-17,0.11353309168926777,0.044125660946494255,0.0
2013-12-18,0.0,0.0,0.5984084805885754
2013-12-23,0.0,0.0,0.41491326668312173
2013-12-24,0.0,0.0,0.0
2013-12-27,0.0,0.041915594194035406,0.0
2013-12-28,0.0,0.0,0.0
2014-01-02,0.0,0.0,0.0
2014-01-08,0.0847979559979324,0.04515220509246445,0.41491326668312173
2014-01-16,0.0,0.054238332322926186,0.0
2014-01-18,0.0,0.051300638680577035,0.0
2014-01-20,0.06247966818334089,0.044125660946494255,0.0
2014-01-21,0.049590145500429686,0.051300638680577035,0.41491326668312173
2014-01-23,0.04332098235260605,0.05603262180840558,0.5227579585747102
2014-01-27,0.06760199227282124,0.040962635025006244,1.0
2014-01-28,0.06247966818334089,0.029062649805540453,0.41491326668312173
2014-01-30,0.06247966818334089,0.03661664425572356,0.0
2014-02-06,0.06247966818334089,0.0380828446853885,0.41491326668312173
2014-02-07,0.10440973049360511,0.054238332322926186,0.5227579585747102
2014-02-09,0.0,0.0,0.0
2014-02-10,0.1606528205902595,0.06962567868856419,0.41491326668312173
2014-02-11,0.0,0.0,0.0
2014-02-12,0.0,0.0,0.0
2014-02-13,0.0,0.0,0.0
2014-02-15,0.09011127459037285,0.04969643211416236,0.0
2014-02-16,0.19413885594048788,0.09770791390263768,0.0
2014-02-17,0.07871944913463816,0.07545381884971647,0.0
2014-02-19,0.0,0.0,0.0
2014-02-24,0.13895353810512726,0.06313107200377362,0.5984084805885754
2014-02-25,0.0847979559979324,0.04120502312198777,0.863054373997182
2014-02-26,0.0,0.024283287042452473,0.7094917059851918
